"Blume",2,"2018-05-16T23:33:03.466Z","shape","User 0"
"Herz",1,"2018-05-16T23:33:03.466Z","shape","User 0"
"Navette",1,"2018-05-16T23:33:03.466Z","shape","User 0"
"Andere Form",1,"2018-05-16T23:33:03.466Z","shape","User 0"
"Symbol",1,"2018-05-16T23:33:03.466Z","shape","User 0"
"Purple",8,"2018-05-17T22:30:31.999Z","color","User 0"
"Pink",3,"2018-05-17T22:30:31.999Z","color","User 0"
"Green",1,"2018-05-17T22:30:31.999Z","color","User 0"
"Blue",10,"2018-05-17T22:30:31.999Z","color","User 0"
"White",2,"2018-05-17T22:30:31.999Z","color","User 0"
"Crystal",3,"2018-05-17T22:30:31.999Z","color","User 0"
"Grey",2,"2018-05-17T22:30:31.999Z","color","User 0"
"Black",4,"2018-05-17T22:30:31.999Z","color","User 0"
"Orange",1,"2018-05-17T22:30:31.999Z","color","User 0"
"Red",4,"2018-05-17T22:30:31.999Z","color","User 0"
"Beige",2,"2018-05-17T22:30:31.999Z","color","User 0"
"Yellow",2,"2018-05-17T22:30:31.999Z","color","User 0"
"Brown",2,"2018-05-17T22:30:31.999Z","color","User 0"
"Rund",23,"2018-05-17T22:30:31.999Z","shape","User 0"
"Stern",1,"2018-05-17T22:30:31.999Z","shape","User 0"
"Herz",3,"2018-05-17T22:30:31.999Z","shape","User 0"
"Tier",3,"2018-05-17T22:30:31.999Z","shape","User 0"
"Asymmetrisch",1,"2018-05-17T22:30:31.999Z","shape","User 0"
"Blume",1,"2018-05-17T22:30:31.999Z","shape","User 0"
"Navette",1,"2018-05-17T22:30:31.999Z","shape","User 0"
"Blue",9,"2018-05-18T22:54:47.408Z","color","User 0"
"Purple",6,"2018-05-18T22:54:47.408Z","color","User 0"
"Green",4,"2018-05-18T22:54:47.408Z","color","User 0"
"Pink",3,"2018-05-18T22:54:47.408Z","color","User 0"
"Crystal",3,"2018-05-18T22:54:47.408Z","color","User 0"
"Red",2,"2018-05-18T22:54:47.408Z","color","User 0"
"Grey",4,"2018-05-18T22:54:47.408Z","color","User 0"
"Black",4,"2018-05-18T22:54:47.408Z","color","User 0"
"White",1,"2018-05-18T22:54:47.408Z","color","User 0"
"Beige",1,"2018-05-18T22:54:47.408Z","color","User 0"
"Brown",1,"2018-05-18T22:54:47.408Z","color","User 0"
"Yellow",1,"2018-05-18T22:54:47.408Z","color","User 0"
"Rund",20,"2018-05-18T22:54:47.408Z","shape","User 0"
"Ring",3,"2018-05-18T22:54:47.408Z","shape","User 0"
"Andere Form",1,"2018-05-18T22:54:47.408Z","shape","User 0"
